                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83919,                0.50851,                0.90591,                0.93419,                0.92584,                0.94931,                0.77198,                0.71036,                0.40252,                0.87711,              0.0010383,              0.0010383,              0.0010383
                     37,                0.83297,                0.50434,                0.90108,                0.93278,                0.93223,                0.94869,                0.77191,                0.71452,                0.40563,                 0.8782,                0.00101,                0.00101,                0.00101
                     38,                0.82779,                0.50392,                0.90079,                0.93608,                0.93098,                0.95148,                 0.7759,                0.71066,                0.39899,                0.87504,             0.00098171,             0.00098171,             0.00098171
                     39,                0.82436,                0.50094,                0.89944,                0.93355,                0.93326,                0.95221,                0.77403,                0.70846,                0.40146,                0.87335,             0.00095343,             0.00095343,             0.00095343
                     40,                0.82411,                0.49727,                0.90068,                0.93574,                0.92908,                0.94915,                0.77503,                0.70719,                0.39841,                0.87463,             0.00092514,             0.00092514,             0.00092514
                     41,                0.82026,                0.49576,                0.89987,                0.93278,                0.93643,                0.95266,                0.78338,                0.70143,                0.39385,                0.87508,             0.00089686,             0.00089686,             0.00089686
                     42,                0.81875,                0.49636,                0.90001,                0.93263,                0.93352,                0.95078,                0.77705,                0.70128,                0.39419,                0.87255,             0.00086857,             0.00086857,             0.00086857
                     43,                0.81553,                0.49139,                 0.8982,                0.93249,                0.93967,                0.95366,                0.77922,                0.70429,                0.38987,                0.87399,             0.00084029,             0.00084029,             0.00084029
                     44,                0.81087,                 0.4858,                0.89514,                0.93777,                 0.9378,                0.95332,                0.78068,                0.69639,                0.38737,                0.87241,               0.000812,               0.000812,               0.000812
                     45,                0.81199,                0.49083,                0.89716,                0.93897,                0.93589,                0.95479,                0.78267,                0.69888,                0.38765,                0.87513,             0.00078371,             0.00078371,             0.00078371
                     46,                0.80866,                0.48389,                0.89578,                0.93601,                0.93431,                0.95284,                0.78291,                0.69538,                0.38542,                0.87086,             0.00075543,             0.00075543,             0.00075543
                     47,                0.80172,                0.48107,                 0.8946,                0.93841,                0.93207,                 0.9524,                0.78252,                0.69155,                0.38665,                0.87238,             0.00072714,             0.00072714,             0.00072714
                     48,                0.80536,                 0.4752,                0.89423,                0.93943,                0.93561,                0.95346,                0.78385,                0.68764,                0.38028,                0.87147,             0.00069886,             0.00069886,             0.00069886
                     49,                0.79504,                0.47095,                0.89131,                0.94092,                0.93302,                0.95538,                 0.7888,                 0.6883,                0.38248,                0.87128,             0.00067057,             0.00067057,             0.00067057
                     50,                 0.7939,                0.46999,                 0.8929,                0.94112,                0.93731,                0.95479,                0.78669,                 0.6843,                0.37819,                0.87036,             0.00064229,             0.00064229,             0.00064229
